epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,40277.2,0.59687,1.50582,0.89048,0.58713,0.65149,0.62224,0.54626,0.53318,1.22497,0.77572,9.2476e-05,9.2476e-05,9.2476e-05
40,40398.4,0.6032,1.51056,0.90316,0.65688,0.61384,0.61916,0.54968,0.53656,1.21963,0.77709,9.2278e-05,9.2278e-05,9.2278e-05
41,40532,0.57161,1.47624,0.87839,0.63484,0.66086,0.62242,0.53782,0.52173,1.29326,0.77203,9.208e-05,9.208e-05,9.208e-05
42,40653.6,0.54098,1.46257,0.87727,0.60126,0.65214,0.62776,0.55375,0.54434,1.29761,0.77193,9.1882e-05,9.1882e-05,9.1882e-05
43,40774.1,0.59717,1.46364,0.87465,0.62656,0.60796,0.62425,0.55083,0.52866,1.18412,0.7698,9.1684e-05,9.1684e-05,9.1684e-05
44,40892.2,0.58422,1.46053,0.88268,0.72299,0.61553,0.63447,0.55979,0.53483,1.1697,0.77083,9.1486e-05,9.1486e-05,9.1486e-05
45,41013.7,0.55268,1.37705,0.86686,0.54611,0.65609,0.62097,0.55019,0.528,1.19775,0.77312,9.1288e-05,9.1288e-05,9.1288e-05
46,41130.8,0.57621,1.36238,0.86639,0.55884,0.61856,0.6262,0.56093,0.50252,1.15721,0.76585,9.109e-05,9.109e-05,9.109e-05
47,41246.8,0.58399,1.38155,0.88522,0.55049,0.629,0.62497,0.55472,0.52492,1.1515,0.76766,9.0892e-05,9.0892e-05,9.0892e-05
48,41363.2,0.55302,1.38118,0.87496,0.65187,0.61819,0.62151,0.55883,0.50704,1.14721,0.76158,9.0694e-05,9.0694e-05,9.0694e-05
49,41480.1,0.58888,1.38507,0.88144,0.59554,0.64465,0.63464,0.55571,0.51196,1.12575,0.76378,9.0496e-05,9.0496e-05,9.0496e-05
50,41597.2,0.5511,1.342,0.87438,0.54139,0.66998,0.63995,0.56395,0.50601,1.19048,0.76584,9.0298e-05,9.0298e-05,9.0298e-05
51,41714.2,0.59674,1.41076,0.88213,0.57579,0.66774,0.64973,0.5763,0.49175,1.12975,0.76255,9.01e-05,9.01e-05,9.01e-05
52,41832.4,0.54289,1.28606,0.8699,0.60634,0.65609,0.65613,0.57529,0.51736,1.29347,0.76879,8.9902e-05,8.9902e-05,8.9902e-05
53,41945,0.58952,1.39488,0.87256,0.58228,0.66502,0.65079,0.5701,0.51603,1.13638,0.7695,8.9704e-05,8.9704e-05,8.9704e-05
54,42046.3,0.55126,1.33082,0.86603,0.58861,0.66937,0.65822,0.5819,0.50493,1.1611,0.76393,8.9506e-05,8.9506e-05,8.9506e-05
55,42164.3,0.54513,1.29247,0.85667,0.58729,0.70427,0.65863,0.57924,0.50373,1.2298,0.76418,8.9308e-05,8.9308e-05,8.9308e-05
56,42280,0.55774,1.32474,0.89404,0.6285,0.68689,0.68452,0.59178,0.50911,1.03976,0.77866,8.911e-05,8.911e-05,8.911e-05
57,42400.7,0.55732,1.24244,0.86572,0.8109,0.61519,0.66663,0.58518,0.51013,1.12481,0.77078,8.8912e-05,8.8912e-05,8.8912e-05
58,42510.7,0.53284,1.27692,0.86559,0.69701,0.62108,0.66877,0.57893,0.52507,1.09842,0.77293,8.8714e-05,8.8714e-05,8.8714e-05
59,42624.7,0.54003,1.25919,0.86825,0.61257,0.71026,0.68355,0.5966,0.5022,1.07014,0.76658,8.8516e-05,8.8516e-05,8.8516e-05
60,42736,0.53753,1.23936,0.87815,0.6733,0.68934,0.69337,0.61044,0.52877,1.04637,0.77657,8.8318e-05,8.8318e-05,8.8318e-05
61,42837.8,0.54673,1.22586,0.87269,0.62143,0.70094,0.6935,0.60505,0.52376,1.04739,0.7737,8.812e-05,8.812e-05,8.812e-05
62,42940.1,0.53173,1.22444,0.86879,0.62517,0.66459,0.66043,0.58309,0.50805,1.03701,0.77293,8.7922e-05,8.7922e-05,8.7922e-05
63,43048.2,0.54451,1.22349,0.86587,0.61552,0.67276,0.67425,0.60459,0.48484,1.0214,0.76312,8.7724e-05,8.7724e-05,8.7724e-05
64,43151.6,0.55265,1.21066,0.87169,0.60457,0.70769,0.68265,0.59897,0.49369,1.07538,0.76784,8.7526e-05,8.7526e-05,8.7526e-05
65,43255.4,0.55426,1.18174,0.87493,0.68441,0.68971,0.69756,0.6111,0.49067,1.02628,0.76924,8.7328e-05,8.7328e-05,8.7328e-05
66,43359.8,0.51653,1.16104,0.85535,0.67169,0.66832,0.67847,0.60333,0.50314,1.01541,0.76204,8.713e-05,8.713e-05,8.713e-05
67,43469.4,0.52621,1.15777,0.87252,0.64044,0.7021,0.69632,0.61823,0.46256,0.99601,0.75712,8.6932e-05,8.6932e-05,8.6932e-05
68,43571.4,0.5051,1.13778,0.86095,0.70402,0.65726,0.69825,0.61366,0.46949,0.99697,0.75399,8.6734e-05,8.6734e-05,8.6734e-05
69,43672.8,0.54315,1.14451,0.85696,0.75429,0.66445,0.69282,0.61787,0.46249,0.9908,0.7544,8.6536e-05,8.6536e-05,8.6536e-05
70,43777.8,0.53652,1.10407,0.86501,0.74321,0.64972,0.67836,0.60274,0.49088,0.98799,0.77355,8.6338e-05,8.6338e-05,8.6338e-05
