epoch,train_loss,train_acc,val_loss,val_acc
1,1.4749,58.93,1.0619,54.17
2,0.8961,76.79,0.7794,68.75
3,0.5840,85.71,0.5464,83.33
4,0.4202,92.86,0.5158,81.25
5,0.3917,91.07,0.4656,87.50
6,0.2856,94.05,0.4362,87.50
7,0.2874,96.43,0.3978,87.50
8,0.2302,97.62,0.3565,89.58
9,0.2885,95.83,0.3387,87.50
10,0.1884,98.21,0.3200,89.58
11,0.1844,98.21,0.3199,87.50
12,0.1766,99.40,0.3238,89.58
13,0.1679,98.81,0.3174,89.58
