split,mAP50,mAP50-95,precision,recall
train,0.8712529873434591,0.8187316495231851,0.7225637666588266,0.8959114611282774
val,0.8271051587301588,0.7783108939014204,0.6800433155203306,0.8810860719136769
test,0.9352777777777779,0.8711513888888888,0.775976559924219,0.9851707876205449
