epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1024.56,0.54436,1.90558,0.86349,0.51918,0.77838,0.7035,0.65553,0.44798,1.69495,0.74742,9.208e-05,9.208e-05,9.208e-05
42,1050.16,0.51504,1.81197,0.85302,0.45094,0.79208,0.70559,0.64045,0.48054,1.71871,0.74758,9.1882e-05,9.1882e-05,9.1882e-05
43,1075.4,0.50949,1.84477,0.85573,0.63171,0.66277,0.7442,0.67828,0.48557,1.71727,0.7468,9.1684e-05,9.1684e-05,9.1684e-05
44,1100.71,0.49384,1.77523,0.84592,0.61463,0.71958,0.74205,0.70042,0.44526,1.71253,0.74448,9.1486e-05,9.1486e-05,9.1486e-05
45,1125.95,0.48307,1.72522,0.87115,0.66112,0.79554,0.76324,0.72259,0.41765,1.64883,0.74461,9.1288e-05,9.1288e-05,9.1288e-05
46,1150.99,0.52243,1.77158,0.87899,0.61877,0.81088,0.75482,0.71164,0.42944,1.57574,0.74533,9.109e-05,9.109e-05,9.109e-05
47,1176.36,0.52041,1.81136,0.85812,0.57995,0.83685,0.76585,0.71911,0.44429,1.50284,0.74489,9.0892e-05,9.0892e-05,9.0892e-05
48,1201.29,0.53972,1.77465,0.86546,0.58032,0.80763,0.77376,0.72748,0.4471,1.44224,0.74512,9.0694e-05,9.0694e-05,9.0694e-05
49,1226.79,0.45759,1.59827,0.85091,0.61679,0.76588,0.78431,0.73723,0.43611,1.42242,0.74363,9.0496e-05,9.0496e-05,9.0496e-05
50,1252.74,0.48226,1.62238,0.84606,0.56755,0.76693,0.76869,0.72352,0.40824,1.44097,0.74202,9.0298e-05,9.0298e-05,9.0298e-05
51,1277.83,0.50625,1.64231,0.90707,0.59295,0.77902,0.77969,0.73084,0.388,1.46191,0.74021,9.01e-05,9.01e-05,9.01e-05
52,1303.24,0.50185,1.63799,0.86365,0.54567,0.79491,0.76725,0.72065,0.37798,1.5117,0.73846,8.9902e-05,8.9902e-05,8.9902e-05
53,1328.25,0.47188,1.58222,0.83125,0.505,0.84711,0.7607,0.72113,0.37457,1.54276,0.73842,8.9704e-05,8.9704e-05,8.9704e-05
54,1353.69,0.47732,1.61077,0.85935,0.60826,0.79657,0.75663,0.71086,0.39121,1.4951,0.73933,8.9506e-05,8.9506e-05,8.9506e-05
55,1378.93,0.51839,1.63186,0.88135,0.5482,0.89501,0.74933,0.70289,0.42217,1.43782,0.74075,8.9308e-05,8.9308e-05,8.9308e-05
56,1404.19,0.4472,1.50351,0.83854,0.52414,0.83558,0.76469,0.71263,0.44473,1.39872,0.74135,8.911e-05,8.911e-05,8.911e-05
57,1429.68,0.45202,1.49854,0.8431,0.54741,0.86038,0.75508,0.70533,0.44572,1.41784,0.74098,8.8912e-05,8.8912e-05,8.8912e-05
58,1454.84,0.45929,1.51725,0.85444,0.53762,0.80235,0.75122,0.70216,0.44375,1.43908,0.74307,8.8714e-05,8.8714e-05,8.8714e-05
59,1479.93,0.45469,1.48121,0.87481,0.56558,0.77847,0.73825,0.69069,0.43084,1.43227,0.74381,8.8516e-05,8.8516e-05,8.8516e-05
