epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7932,0.43942,3.50873,1.15478,0.00081,0.38462,0.04838,0.04284,0.2383,3.84687,0.50764,0.09109,9e-05,9e-05
2,60.0324,0.21924,3.17039,1.00025,0.00064,0.38462,0.04852,0.04544,0.24559,3.78222,0.52083,0.0811862,0.000186238,0.000186238
3,88.1326,0.23743,2.87191,0.96681,0.08511,0.65385,0.16363,0.14831,0.42582,3.76742,0.73997,0.0712785,0.000278516,0.000278516
