epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3686,0.43942,3.50873,1.15478,0.00081,0.38462,0.04838,0.04284,0.2383,3.84687,0.50764,0.09109,9e-05,9e-05
2,63.0966,0.21924,3.17039,1.00025,0.00064,0.38462,0.04852,0.04544,0.24559,3.78222,0.52083,0.0811862,0.000186238,0.000186238
3,92.0597,0.23743,2.87191,0.96681,0.08511,0.65385,0.16363,0.14831,0.42582,3.76742,0.73997,0.0712785,0.000278516,0.000278516
4,119.815,0.22732,2.73589,0.99236,0.01865,0.69231,0.24051,0.22977,0.344,3.63746,0.62164,0.0613668,0.000366834,0.000366834
5,146.324,0.23469,2.62245,0.98742,0.0114,1,0.37943,0.37594,0.22654,3.44128,0.50036,0.0514512,0.000451192,0.000451192
6,172.003,0.21562,2.48407,0.97983,0.00772,1,0.40377,0.39409,0.31815,3.37149,0.59229,0.0415316,0.00053159,0.00053159
7,196.388,0.21855,2.39079,0.95417,0.56119,0.25408,0.38283,0.33114,0.37035,3.39938,0.63488,0.031608,0.000608028,0.000608028
8,221.043,0.2332,2.37686,0.96195,0.37175,0.42308,0.29688,0.26055,0.44988,3.15288,0.75507,0.0216805,0.000680506,0.000680506
9,246.464,0.20587,2.2661,0.93134,0.31851,0.53473,0.31515,0.29964,0.31592,3.06349,0.62001,0.011749,0.000749024,0.000749024
10,270.913,0.21335,2.29369,0.94327,0.15698,0.82896,0.46299,0.45247,0.23904,2.94158,0.51404,0.00181358,0.000813582,0.000813582
11,296.663,0.21012,2.23874,0.96475,0.14278,0.8359,0.45739,0.44974,0.20391,2.87466,0.48617,0.000802,0.000802,0.000802
12,321.564,0.20198,2.3108,0.96887,0.15008,0.92764,0.43603,0.43603,0.21049,3.06368,0.47307,0.0007822,0.0007822,0.0007822
13,346.921,0.19298,2.24505,0.95042,0.2148,0.92308,0.44203,0.44203,0.1892,4.49913,0.45311,0.0007624,0.0007624,0.0007624
14,372.265,0.18922,2.22108,0.94159,0.22422,0.71726,0.44443,0.44443,0.23801,3.85374,0.49923,0.0007426,0.0007426,0.0007426
15,397.646,0.17868,2.22341,0.92833,0.21756,0.73433,0.43561,0.43177,0.27782,2.43741,0.53568,0.0007228,0.0007228,0.0007228
16,423.88,0.15644,2.16133,0.92603,0.34576,0.76495,0.51746,0.5098,0.30553,2.33539,0.53222,0.000703,0.000703,0.000703
17,450.089,0.16485,2.16147,0.92616,0.41448,0.56752,0.51985,0.50646,0.29933,2.60196,0.49773,0.0006832,0.0006832,0.0006832
18,475.752,0.18336,2.22041,0.93378,0.1888,0.69231,0.5098,0.49066,0.26737,2.78079,0.46442,0.0006634,0.0006634,0.0006634
19,501.055,0.17418,2.11679,0.92359,0.20698,0.87859,0.4811,0.46962,0.23363,2.81991,0.43796,0.0006436,0.0006436,0.0006436
20,527.392,0.15079,2.08744,0.92319,0.21589,0.99227,0.54973,0.53825,0.22482,2.9884,0.42638,0.0006238,0.0006238,0.0006238
21,553.773,0.16835,2.04661,0.91239,0.21281,0.98298,0.58861,0.58861,0.17237,2.12793,0.40418,0.000604,0.000604,0.000604
22,578.531,0.1565,2.09345,0.90901,0.24796,0.8701,0.61848,0.61082,0.15622,2.11278,0.40401,0.0005842,0.0005842,0.0005842
23,604.14,0.14693,2.03012,0.90392,0.26351,0.84615,0.62122,0.61356,0.16316,2.06876,0.41412,0.0005644,0.0005644,0.0005644
