class_id,class_name,precision,recall,mAP50,mAP50-95
0,bishop,0.8380964769355252,0.512011170893062,0.6584113729254961,0.5881254121009645
1,castle,1.0,0.2500550422764981,0.5886155120124896,0.5251735499254607
2,king,0.4790765306122987,0.4509995286577134,0.5358330779804824,0.48974602565326936
3,knight,0.8007346988477724,0.7272727272727273,0.7750158275799242,0.7068557182251485
4,pawn,0.9900652609652112,0.4318181818181818,0.7018818682502833,0.632860867853881
5,queen,0.7458042291565281,0.4943820224719101,0.5750051458257779,0.5286872885605747
