epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2201,0.93638,3.82926,1.05865,0.00235,0.72222,0.1536,0.11125,1.28086,3.68114,1.03242,0.097003,3e-06,3e-06
2,22.071,0.9404,3.5491,1.11671,0.00152,0.61111,0.07712,0.0468,1.16684,3.75268,1.04504,0.093007,6.98614e-06,6.98614e-06
3,32.7282,0.91155,3.32351,1.07028,0.00096,0.44444,0.14108,0.10426,1.48676,3.9741,1.2279,0.089011,1.09564e-05,1.09564e-05
4,43.5455,0.81016,3.18273,1.03072,0.00091,0.22222,0.14368,0.07867,1.17881,3.91639,1.19622,0.0850149,1.49109e-05,1.49109e-05
5,54.0181,0.74421,2.97833,0.97349,0.04716,0.38889,0.21823,0.13024,0.96308,3.7188,1.12412,0.0810188,1.88495e-05,1.88495e-05
6,64.6608,0.80213,2.94232,1.03147,0.03551,0.55556,0.26385,0.22443,0.75158,3.61544,0.99751,0.0770228,2.27723e-05,2.27723e-05
7,75.4147,0.80635,2.77722,0.99953,0.03445,0.55556,0.28206,0.24897,0.70889,3.59655,0.95835,0.0730267,2.66792e-05,2.66792e-05
8,85.8864,0.83499,2.678,1.04503,0.01978,0.55556,0.24351,0.21456,0.67953,3.57734,0.93793,0.0690306,3.05703e-05,3.05703e-05
9,96.1586,0.8908,2.67158,1.08505,0.0401,0.77778,0.30138,0.26478,0.6956,3.51734,0.93027,0.0650344,3.44456e-05,3.44456e-05
10,106.557,0.78917,2.56285,1.01815,0.04114,0.83333,0.29186,0.25326,0.72001,3.48205,0.94104,0.0610383,3.8305e-05,3.8305e-05
11,116.999,0.84189,2.56193,1.04083,0.03503,0.77778,0.2091,0.18344,0.70496,3.44924,0.93017,0.0570421,4.21486e-05,4.21486e-05
12,127.547,0.82624,2.47434,1.04434,0.03513,0.77778,0.32101,0.27538,0.69942,3.38394,0.91369,0.053046,4.59763e-05,4.59763e-05
