epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,39805.8,0.78146,1.54649,0.90092,0.56741,0.45677,0.54402,0.47573,0.76609,1.60791,0.93035,9.2476e-05,9.2476e-05,9.2476e-05
40,39952.1,0.77727,1.54144,0.90971,0.63803,0.53051,0.59479,0.53806,0.68338,1.44796,0.91778,9.2278e-05,9.2278e-05,9.2278e-05
41,40077.9,0.75455,1.50287,0.89562,0.57664,0.4974,0.55825,0.49276,0.74007,1.58721,0.92359,9.208e-05,9.208e-05,9.208e-05
42,40200.5,0.81431,1.55416,0.92339,0.6075,0.53203,0.57742,0.51156,0.71427,1.51003,0.91859,9.1882e-05,9.1882e-05,9.1882e-05
43,40324.5,0.73641,1.40667,0.89075,0.65039,0.42572,0.53771,0.47045,0.75689,1.66047,0.91319,9.1684e-05,9.1684e-05,9.1684e-05
44,40448.8,0.78299,1.47532,0.93999,0.69799,0.53026,0.62266,0.55493,0.69222,1.4046,0.91732,9.1486e-05,9.1486e-05,9.1486e-05
45,40573.7,0.79414,1.47505,0.9074,0.59553,0.56211,0.61431,0.54381,0.72894,1.53281,0.91574,9.1288e-05,9.1288e-05,9.1288e-05
46,40695.7,0.74548,1.45226,0.89803,0.70942,0.50513,0.63733,0.56433,0.71368,1.42459,0.91208,9.109e-05,9.109e-05,9.109e-05
47,40814.3,0.74748,1.43321,0.91634,0.67752,0.50237,0.60326,0.54104,0.71514,1.50759,0.92219,9.0892e-05,9.0892e-05,9.0892e-05
48,40933.4,0.78472,1.48457,0.92887,0.59514,0.46787,0.5374,0.47099,0.76218,1.59729,0.92956,9.0694e-05,9.0694e-05,9.0694e-05
49,41051.3,0.74441,1.41281,0.90981,0.72141,0.52602,0.58887,0.51417,0.7162,1.46032,0.91516,9.0496e-05,9.0496e-05,9.0496e-05
50,41166.9,0.72781,1.42009,0.88528,0.57761,0.46265,0.51563,0.44129,0.76973,1.71726,0.92352,9.0298e-05,9.0298e-05,9.0298e-05
51,41281.2,0.74252,1.37661,0.90291,0.77372,0.50754,0.61654,0.54843,0.65046,1.33495,0.89505,9.01e-05,9.01e-05,9.01e-05
52,41396,0.75074,1.43764,0.90849,0.66715,0.43397,0.54922,0.48003,0.67271,1.55294,0.9045,8.9902e-05,8.9902e-05,8.9902e-05
53,41511.6,0.74068,1.40438,0.89145,0.63273,0.51303,0.58341,0.51808,0.66669,1.46896,0.91274,8.9704e-05,8.9704e-05,8.9704e-05
54,41628.8,0.70816,1.3564,0.88613,0.64139,0.53472,0.61834,0.5374,0.67844,1.40532,0.91074,8.9506e-05,8.9506e-05,8.9506e-05
55,41746.8,0.69965,1.31996,0.87752,0.61083,0.52,0.5912,0.52119,0.6559,1.43869,0.8909,8.9308e-05,8.9308e-05,8.9308e-05
56,41865.3,0.73186,1.38685,0.9091,0.73251,0.47533,0.6,0.53605,0.6364,1.40792,0.89224,8.911e-05,8.911e-05,8.911e-05
